Company Name,Company Website,Description,Media Spend (M)
"HanesBrands, Inc.",www.hanesbrands.com,"apparel & accessories, underwear", $50 - 100 
Harbor Freight Tools,www.harborfreight.com,home improvement, $50 - 100 
"Jos. A. Bank Clothiers, Inc.",www.josbank.com,men's clothing, $50 - 100 
L Brands,www.limitedbrands.com,"lingerie, personal care, beauty, fragrance products", $50 - 100 
"LensCrafters, Inc.",www.lenscrafters.com,vision care centers, $50 - 100 
"Menard, Inc.",www.menards.com,home improvement stores, $50 - 100 
National Basketball Association,www.nba.com,professional basketball league, $50 - 100 
National Football League Properties,www.nfl.com,professional football league, $50 - 100 
"Nike, Inc.",www.nikebiz.com,athletic footwear & apparel, $50 - 100 
"Nordstrom, Inc. ",www.nordstrom.com,department store, $50 - 100 
"Office Depot, Inc.",www.officedepot.com,office supplies retailer, $50 - 100 
Payless ShoeSource,www.payless.com/store/,shoe retailer, $50 - 100 
Polo Ralph Lauren Corporation,www.polo.com,clothing & accessories, $50 - 100 
"Publix Supermarkets, Inc.",www.publix.com,grocery retailer, $50 - 100 
RadioShack Corporation,www.radioshack.com,electronics specialty retailer, $50 - 100 
Rolex Watch USA,www.rolex.com,"watches, luxury", $50 - 100 
Ross Stores,www.rossstores.com,clothing retailer, $50 - 100 
Shell Oil Company,www.shell.com,"oil, gas, chemical products", $50 - 100 
"Skechers USA, Inc.",www.skechers.com,casual footwear, $50 - 100 
"Staples, Inc.",www.staples.com,office supply superstore, $50 - 100 
Starbucks Corporation,www.starbucks.com,fast casual restaurant, $50 - 100 
"SUPERVALU, Inc.",www.supervalu.com,grocery distributor & private label foods, $50 - 100 
The Goodyear Tire & Rubber Company,www.goodyear.com,"automotive products / parts manufacturer, tires", $50 - 100 
"The Men's Wearhouse, Inc.",www.menswearhouse.com,men's clothing stores, $50 - 100 
"Victoria's Secret Stores, Inc.",www.victoriassecret.com,intimate apparel & fragrances, $50 - 100 
Zale Corporation,www.zalecorp.com,specialty jewelry retailer, $50 - 100 
"1-800-Flowers.com, Inc.",www.1800flowers.com,online flower delivery, $25 - 50 
"Aaron's, Inc.",www.aaronrents.com,furniture rentals, $25 - 50 
"Academy Sports & Outdoors, Ltd.",www.academy.com,outdoor retail, $25 - 50 
"Advance Auto Parts, Inc.",corp.advanceautoparts.com,"automotive products / parts manufacturer, auto care / repair", $25 - 50 
"Aldi Food Stores, Inc.",www.aldi.com,retail food stores, $25 - 50 
"Avon Products, Inc.",www.avoncompany.com,direct seller of cosmetics, $25 - 50 
"Barnes & Noble, Inc.",www.barnesandnobleinc.com,book retailer, $25 - 50 
"Bass Pro Shops, Inc.",www.basspro.com,sporting goods, $25 - 50 
"Belk Stores Services, Inc.",www.belk.com,department stores, $25 - 50 
Benjamin Moore & Company,www.benjaminmoore.com,paint & coatings, $25 - 50 
"Big Lots, Inc.",www.biglots.com,closeout retail stores, $25 - 50 
"Bob's Discount Furniture, Inc.",www.mybobs.com,furniture, $25 - 50 
"Bon-Ton Stores, Inc.",www.bonton.com,department stores, $25 - 50 
Boscov's Department Stores,www.boscovs.com,retail goods, $25 - 50 
"BP America, Inc.",www.bp.com,oil and natural gas producer, $25 - 50 
"Brown Shoe Company, Inc.",www.brownshoecompany.com,"shoe retailer, shoe wholesaler", $25 - 50 
"Burt's Bees, Inc.",www.burtsbees.com,natural personal care products, $25 - 50 
Cabela's Inc.,www.cabelas.com,"outdoor clothing, sporting goods", $25 - 50 
"Calvin Klein, Inc.",www.calvinklein.com,men's & women's fashion & fragrances, $25 - 50 
"Cartier, Inc.",www.cartier.com,jewelry & china, $25 - 50 
"CBRL Group, Inc.",www.crackerbarrel.com,casual dining restaurant, $25 - 50 
CDW Corporation,www.cdw.com,online computer products, $25 - 50 
"Chico's FAS, Inc.",www.chicos.com,women's clothing & apparel, $25 - 50 
"Coach, Inc. ",www.coach.com,leather handbags & accessories, $25 - 50 
"David's Bridal, Inc. ",www.davidsbridal.com,bridal store, $25 - 50 
"Elizabeth Arden, Inc.",www.elizabetharden.com,make-up & perfume, $25 - 50 
Famous Footwear,www.famousfootwear.com,retail shoe stores, $25 - 50 
"Fanatics, LLC",www.footballfanatics.com,sports merchandise retailer, $25 - 50 
"Food Lion, LLC",www.foodlion.com,grocery stores, $25 - 50 
Fruit of the Loom,www.fruit.com,"underwear, t-shirts, socks", $25 - 50 
Giorgio Armani,www.giorgioarmani.com,upscale designer clothing, $25 - 50 
"Goodwill Industries International, Inc.",www.goodwill.org,thrift stores, $25 - 50 
"Guess?, Inc.",www.guess.com,"men's, women's & children's apparel & accessories", $25 - 50 
Guitar Center Management,www.guitarcenter.com,musical instrument & accessory stores, $25 - 50 
H&M Hennes & Mauritz LP,www.hm.com,apparel & cosmetics, $25 - 50 
H-E-B,www.heb.com,"supermarkets, food stores", $25 - 50 
"Haynes Furniture Company, Inc.",www.haynesfurniture.com/,furniture, $25 - 50 
"Hobby Lobby Stores, Inc.",www.hobbylobby.com,arts & crafts retailer, $25 - 50 
Interbond Corporation of America,www.brandsmartusa.com,"consumer electronics, appliances", $25 - 50 
Lee Jeans,www.lee.com/LEE_STORE_US/en_US/home.html,jeans & other clothing, $25 - 50 
Loews Corporation,www.loews.com,holding company, $25 - 50 
"Meijer, Inc.",www.meijer.com,discount super stores, $25 - 50 
"Michael Kors, LLC",www.michaelkors.com,clothing & fragrances, $25 - 50 
"National Vision, Inc.",www.nationalvision.com,retail vision centers, $25 - 50 
Nautica,www.nautica.com,"clothing, furniture", $25 - 50 
"Neiman Marcus Group, Inc.",www.neimanmarcus.com,specialty retailer, $25 - 50 
"OfficeMax, Inc.",www.officemax.com,"office supplies, computer supplies, furniture", $25 - 50 
P.C. Richard & Son,www.pcrichard.com,"appliances, electronics & computers", $25 - 50 
Party City Corporation,www.partycity.com,party supplies, $25 - 50 
"Petco Animal Supplies, Inc.",www.petco.com,pet supply stores, $25 - 50 
"Pier 1 Imports, Inc.",www.pier1.com,imported furniture & accessories, $25 - 50 
"Polaris Industries, Inc.",www.polarisindustries.com,"snowmobiles, ATVs, watercraft", $25 - 50 
"Provide Commerce, Inc.",www.prvd.com,brand management & acquisition, $25 - 50 
Rite Aid Corporation ,www.riteaid.com,drugstore chain, $25 - 50 
Saks Fifth Avenue Enterprises,www.saksfifthavenue.com,fashion specialty stores, $25 - 50 
Saks Incorporated,www.saksincorporated.com,upscale department stores, $25 - 50 
Schottenstein Stores Corporation,www.asfurniture.com,general merchandisers, $25 - 50 
"Sephora USA, LLC",www.sephora.com,cosmetics & beauty supplies, $25 - 50 
TaylorMade-adidas,www.taylormadegolf.com,golf equipment & apparel, $25 - 50 
The Pep Boys,www.pepboys.com,retail automotive parts, $25 - 50 
"The Sports Authority, Inc.",www.sportsauthority.com,sporting good retailer, $25 - 50 
Tiffany & Company,www.tiffany.com,"upscale jewels, china", $25 - 50 
Tommy Hilfiger Corporation,www.tommy.com,high end apparel, $25 - 50 
"Visionworks of America, Inc.",www.ecca.com,"optical care, eyewear chains", $25 - 50 
Wakefern Food Corporation,wakefern.shoprite.com/,food wholesaler, $25 - 50 
"Zappos.com, Inc.",www.zappos.com,shoe/handbag e-retailer, $25 - 50 
"7-Eleven, Inc.",www.7-eleven.com,convenience stores, $10 - 25 
99 Cents Only Stores,www.99only.com,general merchandise stores, $10 - 25 
ABT Electronics & Appliance,www.abtelectronics.com,electronics, $10 - 25 
"Albertsons, LLC",www.albertsons.com,grocery & drug stores, $10 - 25 
"Alfred Angelo, Inc.",www.alfredangelo.com,formal wear, $10 - 25 
"American Eagle Outfitters, Inc.",www.ae.com,clothing retailer, $10 - 25 
Ann Inc.,www.anntaylor.com,"apparel, shoes & accessories", $10 - 25 
Anna's Linens,www.annaslinens.com,home textiles, $10 - 25 
ASICS America Corporation,www.asicsamerica.com,apparel & shoes, $10 - 25 
Bebe Stores,www.bebe.com,apparel & shoes , $10 - 25 
"Bed Bath & Beyond, Inc.",www.bedbathandbeyond.com,home furnishings, $10 - 25 
"Breitling USA, Inc.",www.breitling.com,luxury watches, $10 - 25 
"Build-A-Bear Workshop, Inc.",www.buildabear.com,entertainment store, $10 - 25 
Burberry Limited,www.burberryplc.com,men & women's fashion, $10 - 25 
Central Garden & Pet Company,www.central.com,"lawn, garden, pet supplies", $10 - 25 
"Champion Window Manufacturing, Inc.",www.championwindow.com,windows & door retailer, $10 - 25 
CITGO Petroleum Corporation,www.citgo.com,petroleum products, $10 - 25 
Citizen Watch Company,www.citizenwatch.com,watches, $10 - 25 
Columbia Sportswear Company,www.columbia.com,outdoor clothing, $10 - 25 
Crate & Barrel,www.crateandbarrel.com,home furnishings & accessories retailer, $10 - 25 
"David Yurman, Inc.",www.davidyurman.com,jewelry & watches, $10 - 25 
"Destination XL Group, Inc.",www.casualmale.com,men's & women's apparel, $10 - 25 
"Eddie Bauer, Inc.",www.eddiebauer.com,"clothing, accessories, shoe, gear", $10 - 25 
"Edible Arrangements International, Inc.",www.ediblearrangements.com,food delivery service, $10 - 25 
"Essence Communications, Inc.",www.essence.com,"periodicals, music, fashion, lifestyle", $10 - 25 
"Express, LLC",www.express.com,women & men's apparel & accessories, $10 - 25 
"Family Dollar Stores, Inc.",www.familydollar.com,discount stores , $10 - 25 
"Foot Locker, Inc.",www.footlocker-inc.com,specialty athletic retailers, $10 - 25 
"Fossil, Inc.",www.fossil.com,fashion watches and accessories, $10 - 25 
"Fred Meyer, Inc.",www.fredmeyer.com,grocery & drug stores, $10 - 25 
"Fry's Food & Drug Stores, Inc.",www.frysfood.com,grocery store chain, $10 - 25 
Gander Mountain Company,www.gandermountain.com,outdoor stores, $10 - 25 
"Giant Eagle, Inc.",www.gianteagle.com,supermarket chain, $10 - 25 
"Giant Food, Inc.",www.giantfood.com,grocery stores, $10 - 25 
GoldToeMoretz LLC,www.goldtoemoretz.com,socks, $10 - 25 
"Golfsmith International, Inc.",www.golfsmith.com,golf quipment retailer, $10 - 25 
Great Clips Hair Salons,www.greatclips.com,hair salon chain, $10 - 25 
"Hanover Direct, Inc.",www.hanoverdirect.com,catalog retailer, $10 - 25 
"Hermes of Paris, Inc.",www.hermes.com,fine watches & accessories, $10 - 25 
"Hugo Boss Fashions, Inc.",www.hugo-boss.com,upscale apparel & accessories, $10 - 25 
"Hy-Vee, Inc.",www.hy-vee.com,supermarkets, $10 - 25 
IdeaVillage Products Corporation,www.ideavillage.com/,as-seen-on-tv products, $10 - 25 
"Jo-Ann Stores, Inc.",www.jo-ann.com,specialty fabric retailer, $10 - 25 
"Jockey International, Inc.",www.jockey.com,"underwear, socks, t-shirts", $10 - 25 
JustFab,www.justfab.com,online retailer, $10 - 25 
"L.L. Bean, Inc",www.llbean.com,catalog & online retailer, $10 - 25 
Lord & Taylor,www.lordandtaylor.com,designer apparel stores, $10 - 25 
"Marc Jacobs International, LLC",www.marcjacobs.com,men's & women's apparel & accessories, $10 - 25 
"Mathis Brothers Furniture Co., Inc.",www.mathisbrothers.com,furniture chain, $10 - 25 
"Michaels Stores, Inc.",www.michaels.com,arts & crafts retailer, $10 - 25 
"Montblanc North America, LLC",www.montblanc.com,"fine pens, watches, accessories", $10 - 25 
"Movado Group, Inc.",www.movadogroupinc.com,watches, $10 - 25 
"Nebraska Furniture Mart, Inc.",www.nfm.com,housewares & furniture, $10 - 25 
"New Balance Athletic Shoe, Inc.",www.newbalance.com,athletic shoes, $10 - 25 
"Oakley, Inc.",www.oakley.com,sunglasses & eyewear, $10 - 25 
OSP Group,www.ospgroup.com,catalog retailers, $10 - 25 
"Performance Marketing Brands, Inc.",performancemarketingbrands.com,shopping reward programs, $10 - 25 
"PetMed Express, Inc.",www.1800petmeds.com,pet pharmacy, $10 - 25 
Ralph's Grocery Company,www.ralphs.com,grocery stores, $10 - 25 
"Recreational Equipment, Inc. (R.E.I.)",www.rei.com,"camping, hiking, boating goods", $10 - 25 
Reebok International Ltd,www.reebok.com,"athletic footwear & apparel, fitness water", $10 - 25 
Regis Corporation,www.regiscorp.com,hair salons & products, $10 - 25 
"ShoeDazzle.com, Inc.",www.shoedazzle.com,online women's fashion society, $10 - 25 
"Speedway SuperAmerica, LLC",www.speedway.com,gasoline & convenience stores, $10 - 25 
Stage Stores,www.stagestores.com,"clothing, perfume, jewelry", $10 - 25 
"Stein Mart, Inc.",www.steinmart.com,department stores, $10 - 25 
The Container Store,www.containerstore.com,home organizing retailer, $10 - 25 
The Jones Group Inc.,www.jny.com,women's clothing, $10 - 25 
"The North Face, Inc.",www.thenorthface.com,outdoor apparel & equipment, $10 - 25 
"The Warnaco Group, Inc.",www.pvh.com,swimwear & fitness apparel, $10 - 25 
Total Wine & More,www.totalwine.com/,spirits retail, $10 - 25 
"Trader Joe's Company, Inc.",www.traderjoes.com,grocery chain, $10 - 25 
"Ulta Salon Cosmetics & Fragrance, Inc.",www.ulta.com,cosmetics retailer, $10 - 25 
"Under Armour, Inc.",www.underarmour.com,athletic apparel, $10 - 25 
Versace USA,www.versace.com,clothing and accessories, $10 - 25 
VF Corporation,www.vfc.com,"clothing, denim, jeans, apparel", $10 - 25 
"W.W. Grainger, Inc.",www.grainger.com,machinery & supplies, $10 - 25 
"Wawa, Inc.",www.wawa.com,convenience store chain, $10 - 25 
"Williams-Sonoma, Inc.",www.williams-sonomainc.com,"home, kitchen, bath", $10 - 25 
"Wolverine Worldwide, Inc.",www.wolverineworldwide.com,"footwear, apparel, accessories", $10 - 25 
ABC Warehouse Group,www.abcwarehouse.com,appliances & electronics stores, $5 - 10 
"ACE Cash Express, Inc.",www.acecashexpress.com,check cashing stores, $5 - 10 
"Acme Markets, Inc.",www.acmemarkets.com,grocery & drug stores, $5 - 10 
"Aeropostale, Inc.",www.aeropostale.com,apparel & accessory stores, $5 - 10 
"American Apparel, LLC",www.americanapparel.net,clothing & apparel, $5 - 10 
Amway Global,www.amway.com,"direct sales, consumer products", $5 - 10 
"Baer's Furniture Company, Inc.",www.baers.com,furniture retailer, $5 - 10 
Bealls Department Store,www.beallsinc.com,department stores, $5 - 10 
Ben Bridge Jewelry Store,www.benbridge.com,retail jewelry, $5 - 10 
"Birkenstock Distribution USA, Inc.",www.birkenstockusa.com,footwear, $5 - 10 
"Blue Nile, Inc.",www.bluenile.com,online gifts & specialty items, $5 - 10 
"Carhartt, Inc.",www.carhartt.com,work clothing, $5 - 10 
"Casey's General Stores, Inc.",www.caseys.com,convenience stores, $5 - 10 
"Casio, Inc.",www.casio.com,electronics & office equipment, $5 - 10 
"Conn's, Inc.",www.conns.com,electronic & appliance store chain, $5 - 10 
ConocoPhillips,www.conocophillips.com,energy & gas company, $5 - 10 
"Converse, Inc.",www.converse.com,athletic shoes, $5 - 10 
"Cost Plus, Inc",www.costplusworldmarket.com,home products retailer, $5 - 10 
"Crocs, Inc.",www.crocs.com,shoe manufacturer, $5 - 10 
"Daily Grommet, Inc.",www.dailygrommet.com,online shopping, $5 - 10 
Deckers Outdoor Corporation,www.deckers.com,outdoor clothing & shoes, $5 - 10 
Destination Maternity Corporation,www.motherswork.com,maternity clothing, $5 - 10 
Dollar General Corporation,www.dollargeneral.com,discount retailer, $5 - 10 
"Dooney & Bourke, Inc.",www.dooney.com,handbags & accessories, $5 - 10 
"Drugstore.com, Inc.",www.drugstore.com,online drug store, $5 - 10 
"eBags, Inc.",www.ebags.com,online bag retailer, $5 - 10 
"Eyemart Express, Inc.",www.eyemartexpress.com,eye care, $5 - 10 
Fab.com,www.fab.com,online marketplace, $5 - 10 
"Fiesta Mart, Inc.",www.fiestamart.com,ethnic food stores, $5 - 10 
"Fresh & Easy Neighborhood Market, Inc.",www.freshandeasy.com,grocery store chain, $5 - 10 
Gordman's,www.gordmans.com,discount stores, $5 - 10 
"Harry Winston, Inc.",www.harrywinston.com,fine watches & jewelry stores, $5 - 10 
Helzberg Diamonds,www.helzberg.com,retail jewelry stores, $5 - 10 
"Henry Modell & Company, Inc.",www.modells.com,sporting goods retailer, $5 - 10 
Iconix Brand Group,www.iconixbrand.com,shoes, $5 - 10 
Innovative Mattress Solutions,www.sleeponthebest.com,mattress stores, $5 - 10 
"J. Crew Group, Inc.",www.jcrew.com,clothing store chain, $5 - 10 
"JBrand, Inc.",www.jbrandjeans.com,men & women's apparel, $5 - 10 
Kate Spade & Co.,fifthandpacific.com,clothing & accessories, $5 - 10 
"Kate Spade, LLC",www.katespade.com,designer clothing & accessories, $5 - 10 
"Kenneth Cole Productions, Inc.",www.kennethcole.com,dress shoes & accessories, $5 - 10 
"Lane Bryant, Inc.",www.lanebryant.com,women's clothing & accessories, $5 - 10 
Levin Furniture Inc,www.levinfurniture.com/,furniture stores, $5 - 10 
Max Mara USA,www.maxmarafashiongroup.com/en/home,fashions, $5 - 10 
Metropolitan Transport Authority,www.mta.info,public transportation system, $5 - 10 
Not Your Daughter's Jeans,www.notyourdaughtersjeans.com,apparel designed for Women age 35+, $5 - 10 
QuikTrip Corporation,www.quiktrip.com,gas stations / convenience stores, $5 - 10 
"QVC, Inc.",www.qvc.com,television & Internet retail sales, $5 - 10 
Ratner Companies,www.ratnerco.com,salons, $5 - 10 
"Red Gold, Inc.",www.redgold.com,tomato products, $5 - 10 
"Red Wing Shoe Company, Inc.",www.redwingshoe.com,"shoes, work boots", $5 - 10 
Ross-Simons,www.ross-simons.com,"housewares, jewelry", $5 - 10 
Save Mart Supermarkets,www.savemart.com/,supermarket chain, $5 - 10 
Scheels All Sports Company,www.scheelssports.com,sporting goods retailer, $5 - 10 
"Sheetz, Inc.",www.sheetz.com,gas stations & convenience stores, $5 - 10 
"Shoe Carnival, Inc.",www.shoecarnival.com,footwear, $5 - 10 
"ShopKo Stores, Inc.",www.shopko.com,general merchandise, $5 - 10 
"Sport Clips, Inc.",www.sportclips.com,sports-themed barbershops, $5 - 10 
"Sprouts Farmers Market, LLC",www.sprouts.com,grocery stores, $5 - 10 
"Stop & Shop Supermarket Companies, Inc.",www.stopandshop.com,grocery stores, $5 - 10 
"Swatch Watch, USA",www.swatch.com,watches, $5 - 10 
"Tanger Factory Outlet Centers, Inc.",www.tangeroutlet.com,factory outlets, $5 - 10 
"The Finish Line, Inc.",www.finishline.com,athletic footwear & apparel, $5 - 10 
The Timberland Company,www.timberland.com,"boots, shoes, clothes, gear", $5 - 10 
The TruGreen Companies ,www.trugreen.com,lawn care product application, $5 - 10 
True Value Company,www.truserv.com,hardware co-operative, $5 - 10 
"Vera Bradley, Inc.",www.verabradley.com,designer luggage & accessories, $5 - 10 
"Whole Foods Market, Inc.",www.wholefoodsmarket.com,natural foods grocery chain, $5 - 10 
Williamson-Dickie Manufacturing Co.,www.dickies.com,"pants, jeans", $5 - 10 
Winmark Corporation,www.winmarkcorporation.com,multi outlet retailer, $5 - 10 
"Winn-Dixie, Inc.",www.winn-dixie.com,grocery chain, $5 - 10 
"Zazzle.com, Inc.",www.zazzle.com,custom T-shirts & accessories, $5 - 10 
"7 For All Mankind, LLC",www.7forallmankind.com,jeans, $3 - 5 
Allen-Edmonds Shoe Corporation,www.allenedmonds.com,men's shoes & accessories, $3 - 5 
American Greetings Corporation,www.corporate.americangreetings.com,greeting cards, $3 - 5 
"BJ's Wholesale Club, Inc.",www.bjs.com,membership warehouses, $3 - 5 
Blair Corporation,www.blair.com,apparel & home decor retailer, $3 - 5 
"Brooks Sports, Inc.",www.brooksrunning.com,sporting goods, $3 - 5 
"Charming Shoppes, Inc.",www.charmingshoppes.com,women's clothing chain & gifts, $3 - 5 
CustomInk,www.customink.com,custom apparel & specialty items, $3 - 5 
Diapers.com,www.diapers.com,baby products, $3 - 5 
Diesel Jeans,www.diesel.com,jeans, $3 - 5 
Eileen Fisher,www.eileenfisher.com,women's apparel, $3 - 5 
Fantastic Sams International,www.fantasticsams.com,hair salons, $3 - 5 
"Fathead, LLC",www.fathead.com,sports memorabilia, $3 - 5 
FGX International,www.fgxi.com,sunglasses, $3 - 5 
"Forever 21, Inc.",www.forever21.com,women's & junior's apparel, $3 - 5 
"Genesco, Inc.",www.genesco.com,footwear & men's clothing, $3 - 5 
"Harris Teeter, Inc.",www.harristeeter.com,grocery chain, $3 - 5 
"Hayneedle, Inc.",www.hayneedleinc.com,online retailer, $3 - 5 
"Ingles Markets, Inc. ",www.ingles-markets.com,grocery chain, $3 - 5 
"Interstate Battery System of America, Inc.",www.ibsa.com,automotive products / parts manufacturer, $3 - 5 
LifeProof,www.lifeproof.com,mobile technology cases & accessories, $3 - 5 
"Lifetouch, Inc.",www.lifetouch.com,portrait photographers, $3 - 5 
"Love's Travel Stops & Country Stores, Inc.",www.loves.com,"travel centers, convenience stores", $3 - 5 
"Lucky Brand Dungarees, Inc.",www.luckybrandjeans.com,"casual clothing, accessories", $3 - 5 
"Marchon Eyewear, Inc.",www.marchon.com,eye wear, $3 - 5 
"Merle Norman Cosmetics, Inc. ",www.merlenorman.com,cosmetics & body care studios, $3 - 5 
"Newegg, Inc.",www.newegg.com,computer products, $3 - 5 
Paige Denim,www.paigeusa.com,apparel, $3 - 5 
"Paul Stuart, Inc.",www.paulstuart.com,clothing, $3 - 5 
"Perry Ellis International, Inc.",pery.com,"sportswear, clothing, swimwear lines", $3 - 5 
"Quality Food Centers, Inc.",www.qfconline.com,retail food stores, $3 - 5 
"Quidsi, Inc.",www.quidsi.com,E-commerce company, $3 - 5 
"Quiksilver, Inc.",www.quiksilver.com,athletic apparel, $3 - 5 
"RaceTrac Petroleum, Inc.",www.racetrac.com,convenience stores & gas stations, $3 - 5 
"Restoration Hardware, Inc.",www.restorationhardware.com,home furnishings , $3 - 5 
Samsonite Corporation,www.samsonite.com,luggage, $3 - 5 
"ShopRite Supermarkets, Inc.",www.shoprite.com,supermarkets, $3 - 5 
"Smith's Food & Drug Centers, Inc.",www.smithsfoodanddrug.com,grocery & drug stores, $3 - 5 
The Procter & Gamble Company,www.pg.com,consumer products, $3 - 5 
Timex Corporation,www.timex.com,watches, $3 - 5 
Tommy Bahama Group,www.tommybahama.com,"clothing, accessories, home", $3 - 5 
"Tourneau, Inc.",www.tourneau.com,jewelry, $3 - 5 
Tractor Supply Company,www.tractorsupplyco.com,farm equipment stores, $3 - 5 
Vera Wang,www.verawang.com,women's fashions, $3 - 5 
Victorinox Swiss Army Inc.,www.swissarmy.com,"Swiss army knives, cutlery, timepieces, fashion & fragrances ", $3 - 5 
Wegmans Food Markets,www.wegmans.com,grocery stores, $3 - 5 
"Weis Markets, Inc.",www.weis.com,grocery store chain, $3 - 5 
84 Lumber Company,www.84lumber.com,building products retailer, $1 - 3 
"A.C. Moore Arts & Crafts, Inc.",www.acmoore.com,arts & crafts retailers, $1 - 3 
Aco Hardware,www.acohardware.com,retail hardware store chain, $1 - 3 
"Advanced Beauty Systems, Inc.",www.bodycology.us,"bath, hair, skin products", $1 - 3 
"Allied Electronics, Inc.",www.alliedelec.com,electronic equipment & parts, $1 - 3 
"Anthropologie, Inc.",www.anthropologie.com,"women's apparel, accessories, home decor", $1 - 3 
"Armstrong Garden Centers, Inc.",www.armstronggarden.com,garden centers, $1 - 3 
Audemars Piguet North America,www.audemarspiguet.com,luxury watches, $1 - 3 
Bally North America,www.bally.com,footwear & leather accessories, $1 - 3 
Bare Necessities,www.barenecessities.com,lingerie company, $1 - 3 
"Bashas, Inc.",www.bashas.com,supermarkets, $1 - 3 
"Bath & Body Works, Inc.",www.bathandbodyworks.com,body & hair care products, $1 - 3 
Benetton USA Corporation,www.benetton.com,adult & children's apparel, $1 - 3 
"Big Y Foods, Inc.",www.bigy.com,supermarket chain, $1 - 3 
"Birks Group, Inc.",www.birksandmayors.com,jewelry store chain, $1 - 3 
"Boot Barn, Inc.",www.bootbarn.com,boot & work wear retailer, $1 - 3 
Brooks Brothers,www.brooksbrothers.com,upscale men's & women's apparel, $1 - 3 
Bulova Corporation,www.bulova.com,"watches, clocks, timepiece parts", $1 - 3 
Bushnell Performance Optics,www.bushnellperformanceoptics.com,"binoculars, telescopes, rangefinders, sports optics", $1 - 3 
