,Company Name,Company Website,Description,Media Spend (M)
43,"Dillard's, Inc.",www.dillards.com,department stores, $50 - 100 
44,ebay,www.ebay.com,online auction goods, $50 - 100 
45,GNC Corporation,www.gnc.com,"vitamin, nutritional supplements, dietary products retailer", $50 - 100 
46,"Gucci America, Inc.",www.gucci.com/us,designer clothing & accessories, $50 - 100 
47,"H.H. Gregg Appliances, Inc.",www.hhgregg.com,appliances and electronics, $50 - 100 
48,"Hallmark Cards, Inc.",www.hallmark.com,greeting cards, $50 - 100 
49,"HanesBrands, Inc.",www.hanesbrands.com,"apparel & accessories, underwear", $50 - 100 
50,Harbor Freight Tools,www.harborfreight.com,home improvement, $50 - 100 
51,"Jos. A. Bank Clothiers, Inc.",www.josbank.com,men's clothing, $50 - 100 
52,L Brands,www.limitedbrands.com,"lingerie, personal care, beauty, fragrance products", $50 - 100 
53,"LensCrafters, Inc.",www.lenscrafters.com,vision care centers, $50 - 100 
54,"Menard, Inc.",www.menards.com,home improvement stores, $50 - 100 
55,National Basketball Association,www.nba.com,professional basketball league, $50 - 100 
56,National Football League Properties,www.nfl.com,professional football league, $50 - 100 
57,"Nike, Inc.",www.nikebiz.com,athletic footwear & apparel, $50 - 100 
58,"Nordstrom, Inc. ",www.nordstrom.com,department store, $50 - 100 
59,"Office Depot, Inc.",www.officedepot.com,office supplies retailer, $50 - 100 
60,Payless ShoeSource,www.payless.com/store/,shoe retailer, $50 - 100 
61,Polo Ralph Lauren Corporation,www.polo.com,clothing & accessories, $50 - 100 
62,"Publix Supermarkets, Inc.",www.publix.com,grocery retailer, $50 - 100 
63,RadioShack Corporation,www.radioshack.com,electronics specialty retailer, $50 - 100 
64,Rolex Watch USA,www.rolex.com,"watches, luxury", $50 - 100 
65,Ross Stores,www.rossstores.com,clothing retailer, $50 - 100 
66,Shell Oil Company,www.shell.com,"oil, gas, chemical products", $50 - 100 
67,"Skechers USA, Inc.",www.skechers.com,casual footwear, $50 - 100 
68,"Staples, Inc.",www.staples.com,office supply superstore, $50 - 100 
69,Starbucks Corporation,www.starbucks.com,fast casual restaurant, $50 - 100 
70,"SUPERVALU, Inc.",www.supervalu.com,grocery distributor & private label foods, $50 - 100 
71,The Goodyear Tire & Rubber Company,www.goodyear.com,"automotive products / parts manufacturer, tires", $50 - 100 
72,"The Men's Wearhouse, Inc.",www.menswearhouse.com,men's clothing stores, $50 - 100 
73,"Victoria's Secret Stores, Inc.",www.victoriassecret.com,intimate apparel & fragrances, $50 - 100 
74,Zale Corporation,www.zalecorp.com,specialty jewelry retailer, $50 - 100 
75,"1-800-Flowers.com, Inc.",www.1800flowers.com,online flower delivery, $25 - 50 
76,"Aaron's, Inc.",www.aaronrents.com,furniture rentals, $25 - 50 
77,"Academy Sports & Outdoors, Ltd.",www.academy.com,outdoor retail, $25 - 50 
78,"Advance Auto Parts, Inc.",corp.advanceautoparts.com,"automotive products / parts manufacturer, auto care / repair", $25 - 50 
79,"Aldi Food Stores, Inc.",www.aldi.com,retail food stores, $25 - 50 
80,"Avon Products, Inc.",www.avoncompany.com,direct seller of cosmetics, $25 - 50 
81,"Barnes & Noble, Inc.",www.barnesandnobleinc.com,book retailer, $25 - 50 
82,"Bass Pro Shops, Inc.",www.basspro.com,sporting goods, $25 - 50 
83,"Belk Stores Services, Inc.",www.belk.com,department stores, $25 - 50 
84,Benjamin Moore & Company,www.benjaminmoore.com,paint & coatings, $25 - 50 
85,"Big Lots, Inc.",www.biglots.com,closeout retail stores, $25 - 50 
86,"Bob's Discount Furniture, Inc.",www.mybobs.com,furniture, $25 - 50 
87,"Bon-Ton Stores, Inc.",www.bonton.com,department stores, $25 - 50 
88,Boscov's Department Stores,www.boscovs.com,retail goods, $25 - 50 
89,"BP America, Inc.",www.bp.com,oil and natural gas producer, $25 - 50 
90,"Brown Shoe Company, Inc.",www.brownshoecompany.com,"shoe retailer, shoe wholesaler", $25 - 50 
91,"Burt's Bees, Inc.",www.burtsbees.com,natural personal care products, $25 - 50 
92,Cabela's Inc.,www.cabelas.com,"outdoor clothing, sporting goods", $25 - 50 
93,"Calvin Klein, Inc.",www.calvinklein.com,men's & women's fashion & fragrances, $25 - 50 
94,"Cartier, Inc.",www.cartier.com,jewelry & china, $25 - 50 
95,"CBRL Group, Inc.",www.crackerbarrel.com,casual dining restaurant, $25 - 50 
96,CDW Corporation,www.cdw.com,online computer products, $25 - 50 
97,"Chico's FAS, Inc.",www.chicos.com,women's clothing & apparel, $25 - 50 
98,"Coach, Inc. ",www.coach.com,leather handbags & accessories, $25 - 50 
99,"David's Bridal, Inc. ",www.davidsbridal.com,bridal store, $25 - 50 
100,"Elizabeth Arden, Inc.",www.elizabetharden.com,make-up & perfume, $25 - 50 
101,Famous Footwear,www.famousfootwear.com,retail shoe stores, $25 - 50 
102,"Fanatics, LLC",www.footballfanatics.com,sports merchandise retailer, $25 - 50 
103,"Food Lion, LLC",www.foodlion.com,grocery stores, $25 - 50 
104,Fruit of the Loom,www.fruit.com,"underwear, t-shirts, socks", $25 - 50 
105,Giorgio Armani,www.giorgioarmani.com,upscale designer clothing, $25 - 50 
106,"Goodwill Industries International, Inc.",www.goodwill.org,thrift stores, $25 - 50 
107,"Guess?, Inc.",www.guess.com,"men's, women's & children's apparel & accessories", $25 - 50 
108,Guitar Center Management,www.guitarcenter.com,musical instrument & accessory stores, $25 - 50 
109,H&M Hennes & Mauritz LP,www.hm.com,apparel & cosmetics, $25 - 50 
110,H-E-B,www.heb.com,"supermarkets, food stores", $25 - 50 
111,"Haynes Furniture Company, Inc.",www.haynesfurniture.com/,furniture, $25 - 50 
112,"Hobby Lobby Stores, Inc.",www.hobbylobby.com,arts & crafts retailer, $25 - 50 
113,Interbond Corporation of America,www.brandsmartusa.com,"consumer electronics, appliances", $25 - 50 
114,Lee Jeans,www.lee.com/LEE_STORE_US/en_US/home.html,jeans & other clothing, $25 - 50 
115,Loews Corporation,www.loews.com,holding company, $25 - 50 
116,"Meijer, Inc.",www.meijer.com,discount super stores, $25 - 50 
117,"Michael Kors, LLC",www.michaelkors.com,clothing & fragrances, $25 - 50 
118,"National Vision, Inc.",www.nationalvision.com,retail vision centers, $25 - 50 
119,Nautica,www.nautica.com,"clothing, furniture", $25 - 50 
120,"Neiman Marcus Group, Inc.",www.neimanmarcus.com,specialty retailer, $25 - 50 
121,"OfficeMax, Inc.",www.officemax.com,"office supplies, computer supplies, furniture", $25 - 50 
122,P.C. Richard & Son,www.pcrichard.com,"appliances, electronics & computers", $25 - 50 
123,Party City Corporation,www.partycity.com,party supplies, $25 - 50 
124,"Petco Animal Supplies, Inc.",www.petco.com,pet supply stores, $25 - 50 
125,"Pier 1 Imports, Inc.",www.pier1.com,imported furniture & accessories, $25 - 50 
126,"Polaris Industries, Inc.",www.polarisindustries.com,"snowmobiles, ATVs, watercraft", $25 - 50 
127,"Provide Commerce, Inc.",www.prvd.com,brand management & acquisition, $25 - 50 
128,Rite Aid Corporation ,www.riteaid.com,drugstore chain, $25 - 50 
129,Saks Fifth Avenue Enterprises,www.saksfifthavenue.com,fashion specialty stores, $25 - 50 
130,Saks Incorporated,www.saksincorporated.com,upscale department stores, $25 - 50 
131,Schottenstein Stores Corporation,www.asfurniture.com,general merchandisers, $25 - 50 
132,"Sephora USA, LLC",www.sephora.com,cosmetics & beauty supplies, $25 - 50 
133,TaylorMade-adidas,www.taylormadegolf.com,golf equipment & apparel, $25 - 50 
134,The Pep Boys,www.pepboys.com,retail automotive parts, $25 - 50 
135,"The Sports Authority, Inc.",www.sportsauthority.com,sporting good retailer, $25 - 50 
136,Tiffany & Company,www.tiffany.com,"upscale jewels, china", $25 - 50 
137,Tommy Hilfiger Corporation,www.tommy.com,high end apparel, $25 - 50 
138,"Visionworks of America, Inc.",www.ecca.com,"optical care, eyewear chains", $25 - 50 
139,Wakefern Food Corporation,wakefern.shoprite.com/,food wholesaler, $25 - 50 
140,"Zappos.com, Inc.",www.zappos.com,shoe/handbag e-retailer, $25 - 50 
141,"7-Eleven, Inc.",www.7-eleven.com,convenience stores, $10 - 25 
142,99 Cents Only Stores,www.99only.com,general merchandise stores, $10 - 25 
143,ABT Electronics & Appliance,www.abtelectronics.com,electronics, $10 - 25 
144,"Albertsons, LLC",www.albertsons.com,grocery & drug stores, $10 - 25 
145,"Alfred Angelo, Inc.",www.alfredangelo.com,formal wear, $10 - 25 
146,"American Eagle Outfitters, Inc.",www.ae.com,clothing retailer, $10 - 25 
147,Ann Inc.,www.anntaylor.com,"apparel, shoes & accessories", $10 - 25 
148,Anna's Linens,www.annaslinens.com,home textiles, $10 - 25 
149,ASICS America Corporation,www.asicsamerica.com,apparel & shoes, $10 - 25 
150,Bebe Stores,www.bebe.com,apparel & shoes , $10 - 25 
151,"Bed Bath & Beyond, Inc.",www.bedbathandbeyond.com,home furnishings, $10 - 25 
152,"Breitling USA, Inc.",www.breitling.com,luxury watches, $10 - 25 
153,"Build-A-Bear Workshop, Inc.",www.buildabear.com,entertainment store, $10 - 25 
154,Burberry Limited,www.burberryplc.com,men & women's fashion, $10 - 25 
155,Central Garden & Pet Company,www.central.com,"lawn, garden, pet supplies", $10 - 25 
156,"Champion Window Manufacturing, Inc.",www.championwindow.com,windows & door retailer, $10 - 25 
157,CITGO Petroleum Corporation,www.citgo.com,petroleum products, $10 - 25 
158,Citizen Watch Company,www.citizenwatch.com,watches, $10 - 25 
159,Columbia Sportswear Company,www.columbia.com,outdoor clothing, $10 - 25 
160,Crate & Barrel,www.crateandbarrel.com,home furnishings & accessories retailer, $10 - 25 
161,"David Yurman, Inc.",www.davidyurman.com,jewelry & watches, $10 - 25 
162,"Destination XL Group, Inc.",www.casualmale.com,men's & women's apparel, $10 - 25 
163,"Eddie Bauer, Inc.",www.eddiebauer.com,"clothing, accessories, shoe, gear", $10 - 25 
164,"Edible Arrangements International, Inc.",www.ediblearrangements.com,food delivery service, $10 - 25 
165,"Essence Communications, Inc.",www.essence.com,"periodicals, music, fashion, lifestyle", $10 - 25 
166,"Express, LLC",www.express.com,women & men's apparel & accessories, $10 - 25 
167,"Family Dollar Stores, Inc.",www.familydollar.com,discount stores , $10 - 25 
168,"Foot Locker, Inc.",www.footlocker-inc.com,specialty athletic retailers, $10 - 25 
169,"Fossil, Inc.",www.fossil.com,fashion watches and accessories, $10 - 25 
170,"Fred Meyer, Inc.",www.fredmeyer.com,grocery & drug stores, $10 - 25 
171,"Fry's Food & Drug Stores, Inc.",www.frysfood.com,grocery store chain, $10 - 25 
172,Gander Mountain Company,www.gandermountain.com,outdoor stores, $10 - 25 
173,"Giant Eagle, Inc.",www.gianteagle.com,supermarket chain, $10 - 25 
174,"Giant Food, Inc.",www.giantfood.com,grocery stores, $10 - 25 
175,GoldToeMoretz LLC,www.goldtoemoretz.com,socks, $10 - 25 
176,"Golfsmith International, Inc.",www.golfsmith.com,golf quipment retailer, $10 - 25 
177,Great Clips Hair Salons,www.greatclips.com,hair salon chain, $10 - 25 
178,"Hanover Direct, Inc.",www.hanoverdirect.com,catalog retailer, $10 - 25 
179,"Hermes of Paris, Inc.",www.hermes.com,fine watches & accessories, $10 - 25 
180,"Hugo Boss Fashions, Inc.",www.hugo-boss.com,upscale apparel & accessories, $10 - 25 
181,"Hy-Vee, Inc.",www.hy-vee.com,supermarkets, $10 - 25 
182,IdeaVillage Products Corporation,www.ideavillage.com/,as-seen-on-tv products, $10 - 25 
183,"Jo-Ann Stores, Inc.",www.jo-ann.com,specialty fabric retailer, $10 - 25 
184,"Jockey International, Inc.",www.jockey.com,"underwear, socks, t-shirts", $10 - 25 
185,JustFab,www.justfab.com,online retailer, $10 - 25 
186,"L.L. Bean, Inc",www.llbean.com,catalog & online retailer, $10 - 25 
187,Lord & Taylor,www.lordandtaylor.com,designer apparel stores, $10 - 25 
188,"Marc Jacobs International, LLC",www.marcjacobs.com,men's & women's apparel & accessories, $10 - 25 
189,"Mathis Brothers Furniture Co., Inc.",www.mathisbrothers.com,furniture chain, $10 - 25 
190,"Michaels Stores, Inc.",www.michaels.com,arts & crafts retailer, $10 - 25 
191,"Montblanc North America, LLC",www.montblanc.com,"fine pens, watches, accessories", $10 - 25 
192,"Movado Group, Inc.",www.movadogroupinc.com,watches, $10 - 25 
193,"Nebraska Furniture Mart, Inc.",www.nfm.com,housewares & furniture, $10 - 25 
194,"New Balance Athletic Shoe, Inc.",www.newbalance.com,athletic shoes, $10 - 25 
195,"Oakley, Inc.",www.oakley.com,sunglasses & eyewear, $10 - 25 
196,OSP Group,www.ospgroup.com,catalog retailers, $10 - 25 
197,"Performance Marketing Brands, Inc.",performancemarketingbrands.com,shopping reward programs, $10 - 25 
198,"PetMed Express, Inc.",www.1800petmeds.com,pet pharmacy, $10 - 25 
199,Ralph's Grocery Company,www.ralphs.com,grocery stores, $10 - 25 
200,"Recreational Equipment, Inc. (R.E.I.)",www.rei.com,"camping, hiking, boating goods", $10 - 25 
201,Reebok International Ltd,www.reebok.com,"athletic footwear & apparel, fitness water", $10 - 25 
202,Regis Corporation,www.regiscorp.com,hair salons & products, $10 - 25 
203,"ShoeDazzle.com, Inc.",www.shoedazzle.com,online women's fashion society, $10 - 25 
204,"Speedway SuperAmerica, LLC",www.speedway.com,gasoline & convenience stores, $10 - 25 
205,Stage Stores,www.stagestores.com,"clothing, perfume, jewelry", $10 - 25 
206,"Stein Mart, Inc.",www.steinmart.com,department stores, $10 - 25 
207,The Container Store,www.containerstore.com,home organizing retailer, $10 - 25 
208,The Jones Group Inc.,www.jny.com,women's clothing, $10 - 25 
209,"The North Face, Inc.",www.thenorthface.com,outdoor apparel & equipment, $10 - 25 
210,"The Warnaco Group, Inc.",www.pvh.com,swimwear & fitness apparel, $10 - 25 
211,Total Wine & More,www.totalwine.com/,spirits retail, $10 - 25 
212,"Trader Joe's Company, Inc.",www.traderjoes.com,grocery chain, $10 - 25 
213,"Ulta Salon Cosmetics & Fragrance, Inc.",www.ulta.com,cosmetics retailer, $10 - 25 
214,"Under Armour, Inc.",www.underarmour.com,athletic apparel, $10 - 25 
215,Versace USA,www.versace.com,clothing and accessories, $10 - 25 
216,VF Corporation,www.vfc.com,"clothing, denim, jeans, apparel", $10 - 25 
217,"W.W. Grainger, Inc.",www.grainger.com,machinery & supplies, $10 - 25 
218,"Wawa, Inc.",www.wawa.com,convenience store chain, $10 - 25 
219,"Williams-Sonoma, Inc.",www.williams-sonomainc.com,"home, kitchen, bath", $10 - 25 
220,"Wolverine Worldwide, Inc.",www.wolverineworldwide.com,"footwear, apparel, accessories", $10 - 25 
221,ABC Warehouse Group,www.abcwarehouse.com,appliances & electronics stores, $5 - 10 
222,"ACE Cash Express, Inc.",www.acecashexpress.com,check cashing stores, $5 - 10 
223,"Acme Markets, Inc.",www.acmemarkets.com,grocery & drug stores, $5 - 10 
224,"Aeropostale, Inc.",www.aeropostale.com,apparel & accessory stores, $5 - 10 
225,"American Apparel, LLC",www.americanapparel.net,clothing & apparel, $5 - 10 
226,Amway Global,www.amway.com,"direct sales, consumer products", $5 - 10 
227,"Baer's Furniture Company, Inc.",www.baers.com,furniture retailer, $5 - 10 
228,Bealls Department Store,www.beallsinc.com,department stores, $5 - 10 
229,Ben Bridge Jewelry Store,www.benbridge.com,retail jewelry, $5 - 10 
230,"Birkenstock Distribution USA, Inc.",www.birkenstockusa.com,footwear, $5 - 10 
231,"Blue Nile, Inc.",www.bluenile.com,online gifts & specialty items, $5 - 10 
232,"Carhartt, Inc.",www.carhartt.com,work clothing, $5 - 10 
233,"Casey's General Stores, Inc.",www.caseys.com,convenience stores, $5 - 10 
234,"Casio, Inc.",www.casio.com,electronics & office equipment, $5 - 10 
235,"Conn's, Inc.",www.conns.com,electronic & appliance store chain, $5 - 10 
236,ConocoPhillips,www.conocophillips.com,energy & gas company, $5 - 10 
237,"Converse, Inc.",www.converse.com,athletic shoes, $5 - 10 
238,"Cost Plus, Inc",www.costplusworldmarket.com,home products retailer, $5 - 10 
239,"Crocs, Inc.",www.crocs.com,shoe manufacturer, $5 - 10 
240,"Daily Grommet, Inc.",www.dailygrommet.com,online shopping, $5 - 10 
241,Deckers Outdoor Corporation,www.deckers.com,outdoor clothing & shoes, $5 - 10 
242,Destination Maternity Corporation,www.motherswork.com,maternity clothing, $5 - 10 
243,Dollar General Corporation,www.dollargeneral.com,discount retailer, $5 - 10 
244,"Dooney & Bourke, Inc.",www.dooney.com,handbags & accessories, $5 - 10 
245,"Drugstore.com, Inc.",www.drugstore.com,online drug store, $5 - 10 
246,"eBags, Inc.",www.ebags.com,online bag retailer, $5 - 10 
247,"Eyemart Express, Inc.",www.eyemartexpress.com,eye care, $5 - 10 
248,Fab.com,www.fab.com,online marketplace, $5 - 10 
249,"Fiesta Mart, Inc.",www.fiestamart.com,ethnic food stores, $5 - 10 
250,"Fresh & Easy Neighborhood Market, Inc.",www.freshandeasy.com,grocery store chain, $5 - 10 
251,Gordman's,www.gordmans.com,discount stores, $5 - 10 
252,"Harry Winston, Inc.",www.harrywinston.com,fine watches & jewelry stores, $5 - 10 
253,Helzberg Diamonds,www.helzberg.com,retail jewelry stores, $5 - 10 
254,"Henry Modell & Company, Inc.",www.modells.com,sporting goods retailer, $5 - 10 
255,Iconix Brand Group,www.iconixbrand.com,shoes, $5 - 10 
256,Innovative Mattress Solutions,www.sleeponthebest.com,mattress stores, $5 - 10 
257,"J. Crew Group, Inc.",www.jcrew.com,clothing store chain, $5 - 10 
258,"JBrand, Inc.",www.jbrandjeans.com,men & women's apparel, $5 - 10 
259,Kate Spade & Co.,fifthandpacific.com,clothing & accessories, $5 - 10 
260,"Kate Spade, LLC",www.katespade.com,designer clothing & accessories, $5 - 10 
261,"Kenneth Cole Productions, Inc.",www.kennethcole.com,dress shoes & accessories, $5 - 10 
262,"Lane Bryant, Inc.",www.lanebryant.com,women's clothing & accessories, $5 - 10 
263,Levin Furniture Inc,www.levinfurniture.com/,furniture stores, $5 - 10 
264,Max Mara USA,www.maxmarafashiongroup.com/en/home,fashions, $5 - 10 
265,Metropolitan Transport Authority,www.mta.info,public transportation system, $5 - 10 
266,Not Your Daughter's Jeans,www.notyourdaughtersjeans.com,apparel designed for Women age 35+, $5 - 10 
267,QuikTrip Corporation,www.quiktrip.com,gas stations / convenience stores, $5 - 10 
268,"QVC, Inc.",www.qvc.com,television & Internet retail sales, $5 - 10 
269,Ratner Companies,www.ratnerco.com,salons, $5 - 10 
270,"Red Gold, Inc.",www.redgold.com,tomato products, $5 - 10 
271,"Red Wing Shoe Company, Inc.",www.redwingshoe.com,"shoes, work boots", $5 - 10 
272,Ross-Simons,www.ross-simons.com,"housewares, jewelry", $5 - 10 
273,Save Mart Supermarkets,www.savemart.com/,supermarket chain, $5 - 10 
274,Scheels All Sports Company,www.scheelssports.com,sporting goods retailer, $5 - 10 
275,"Sheetz, Inc.",www.sheetz.com,gas stations & convenience stores, $5 - 10 
276,"Shoe Carnival, Inc.",www.shoecarnival.com,footwear, $5 - 10 
277,"ShopKo Stores, Inc.",www.shopko.com,general merchandise, $5 - 10 
278,"Sport Clips, Inc.",www.sportclips.com,sports-themed barbershops, $5 - 10 
279,"Sprouts Farmers Market, LLC",www.sprouts.com,grocery stores, $5 - 10 
280,"Stop & Shop Supermarket Companies, Inc.",www.stopandshop.com,grocery stores, $5 - 10 
281,"Swatch Watch, USA",www.swatch.com,watches, $5 - 10 
282,"Tanger Factory Outlet Centers, Inc.",www.tangeroutlet.com,factory outlets, $5 - 10 
283,"The Finish Line, Inc.",www.finishline.com,athletic footwear & apparel, $5 - 10 
284,The Timberland Company,www.timberland.com,"boots, shoes, clothes, gear", $5 - 10 
285,The TruGreen Companies ,www.trugreen.com,lawn care product application, $5 - 10 
286,True Value Company,www.truserv.com,hardware co-operative, $5 - 10 
287,"Vera Bradley, Inc.",www.verabradley.com,designer luggage & accessories, $5 - 10 
288,"Whole Foods Market, Inc.",www.wholefoodsmarket.com,natural foods grocery chain, $5 - 10 
289,Williamson-Dickie Manufacturing Co.,www.dickies.com,"pants, jeans", $5 - 10 
290,Winmark Corporation,www.winmarkcorporation.com,multi outlet retailer, $5 - 10 
291,"Winn-Dixie, Inc.",www.winn-dixie.com,grocery chain, $5 - 10 
292,"Zazzle.com, Inc.",www.zazzle.com,custom T-shirts & accessories, $5 - 10 
293,"7 For All Mankind, LLC",www.7forallmankind.com,jeans, $3 - 5 
294,Allen-Edmonds Shoe Corporation,www.allenedmonds.com,men's shoes & accessories, $3 - 5 
295,American Greetings Corporation,www.corporate.americangreetings.com,greeting cards, $3 - 5 
296,"BJ's Wholesale Club, Inc.",www.bjs.com,membership warehouses, $3 - 5 
297,Blair Corporation,www.blair.com,apparel & home decor retailer, $3 - 5 
298,"Brooks Sports, Inc.",www.brooksrunning.com,sporting goods, $3 - 5 
299,"Charming Shoppes, Inc.",www.charmingshoppes.com,women's clothing chain & gifts, $3 - 5 
300,CustomInk,www.customink.com,custom apparel & specialty items, $3 - 5 
301,Diapers.com,www.diapers.com,baby products, $3 - 5 
302,Diesel Jeans,www.diesel.com,jeans, $3 - 5 
303,Eileen Fisher,www.eileenfisher.com,women's apparel, $3 - 5 
304,Fantastic Sams International,www.fantasticsams.com,hair salons, $3 - 5 
305,"Fathead, LLC",www.fathead.com,sports memorabilia, $3 - 5 
306,FGX International,www.fgxi.com,sunglasses, $3 - 5 
307,"Forever 21, Inc.",www.forever21.com,women's & junior's apparel, $3 - 5 
308,"Genesco, Inc.",www.genesco.com,footwear & men's clothing, $3 - 5 
309,"Harris Teeter, Inc.",www.harristeeter.com,grocery chain, $3 - 5 
310,"Hayneedle, Inc.",www.hayneedleinc.com,online retailer, $3 - 5 
311,"Ingles Markets, Inc. ",www.ingles-markets.com,grocery chain, $3 - 5 
312,"Interstate Battery System of America, Inc.",www.ibsa.com,automotive products / parts manufacturer, $3 - 5 
313,LifeProof,www.lifeproof.com,mobile technology cases & accessories, $3 - 5 
314,"Lifetouch, Inc.",www.lifetouch.com,portrait photographers, $3 - 5 
315,"Love's Travel Stops & Country Stores, Inc.",www.loves.com,"travel centers, convenience stores", $3 - 5 
316,"Lucky Brand Dungarees, Inc.",www.luckybrandjeans.com,"casual clothing, accessories", $3 - 5 
317,"Marchon Eyewear, Inc.",www.marchon.com,eye wear, $3 - 5 
318,"Merle Norman Cosmetics, Inc. ",www.merlenorman.com,cosmetics & body care studios, $3 - 5 
319,"Newegg, Inc.",www.newegg.com,computer products, $3 - 5 
320,Paige Denim,www.paigeusa.com,apparel, $3 - 5 
321,"Paul Stuart, Inc.",www.paulstuart.com,clothing, $3 - 5 
322,"Perry Ellis International, Inc.",pery.com,"sportswear, clothing, swimwear lines", $3 - 5 
323,"Quality Food Centers, Inc.",www.qfconline.com,retail food stores, $3 - 5 
324,"Quidsi, Inc.",www.quidsi.com,E-commerce company, $3 - 5 
325,"Quiksilver, Inc.",www.quiksilver.com,athletic apparel, $3 - 5 
326,"RaceTrac Petroleum, Inc.",www.racetrac.com,convenience stores & gas stations, $3 - 5 
327,"Restoration Hardware, Inc.",www.restorationhardware.com,home furnishings , $3 - 5 
328,Samsonite Corporation,www.samsonite.com,luggage, $3 - 5 
329,"ShopRite Supermarkets, Inc.",www.shoprite.com,supermarkets, $3 - 5 
330,"Smith's Food & Drug Centers, Inc.",www.smithsfoodanddrug.com,grocery & drug stores, $3 - 5 
331,The Procter & Gamble Company,www.pg.com,consumer products, $3 - 5 
332,Timex Corporation,www.timex.com,watches, $3 - 5 
333,Tommy Bahama Group,www.tommybahama.com,"clothing, accessories, home", $3 - 5 
334,"Tourneau, Inc.",www.tourneau.com,jewelry, $3 - 5 
335,Tractor Supply Company,www.tractorsupplyco.com,farm equipment stores, $3 - 5 
336,Vera Wang,www.verawang.com,women's fashions, $3 - 5 
337,Victorinox Swiss Army Inc.,www.swissarmy.com,"Swiss army knives, cutlery, timepieces, fashion & fragrances ", $3 - 5 
338,Wegmans Food Markets,www.wegmans.com,grocery stores, $3 - 5 
339,"Weis Markets, Inc.",www.weis.com,grocery store chain, $3 - 5 
